RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
0.366873029,52,1,0.465202141,5416,12,0,2,0,0
0.9999999,56,0,0,5400,0,0,0,0,0
0.849343377,68,0,0.119747255,16300,9,0,0,0,2
0,62,0,0.226893403,6350,4,0,2,0,0
0.01833777,79,0,0.024650233,1500,5,0,0,0,0
0.207974003,50,0,0.606893188,6150,5,0,3,0,2
0.304008717,53,0,0.559298569,6500,8,0,2,0,3
0.135528836,57,0,0.538520141,10500,20,0,2,0,0
0.37841439,32,0,0.014154871,1200,2,0,0,1,0
0.96310369,60,0,0.123908878,4696,11,0,0,0,0
0.209002817,43,0,0.296127977,5500,9,0,1,0,1
0.067936744,68,0,2905,0,10,0,1,0,1
0.10005135,46,0,0.243922709,9625,7,0,1,0,3
0.055999434,53,0,0.065993715,10500,19,0,1,0,0
0.524112907,25,0,0.141840366,5900,5,0,0,0,1
0.297226319,44,0,0.033685651,13150,7,0,0,0,1
0.15364106,66,0,0.413687043,2600,7,0,1,0,0
0.009165903,31,0,3,5400,2,0,0,0,0
0.077088106,43,0,0.318096912,9100,9,0,2,0,2
0.158300115,59,0,0.100152905,2615,7,0,0,0,0
1.020756866,30,2,0.439538384,3985,10,0,1,0,2
0,61,2,0.212222222,8999,6,0,1,0,0
0.9999999,42,1,0.113421853,6250,3,3,0,1,2
0.9999999,52,0,0.256670902,1573,2,0,0,0,0
0.9999999,23,1,0.002998501,2000,1,0,0,0,0
0.007549943,55,0,0.1886487,10500,13,0,1,0,0
0.029303074,26,0,20,5400,1,0,0,0,0
0.9999999,45,0,0.278498161,5166,6,0,1,0,0
0.019778408,56,0,0.219864112,13098,20,0,3,0,2
0,44,0,0.014496376,4000,3,0,0,0,3
0.054247825,37,0,0.31028162,6000,7,0,1,0,1
0.163985021,34,2,1940,5400,9,0,2,0,0
0,27,0,0.294470353,1500,1,1,0,0,0
0.823696051,55,0,0.271954674,6000,8,2,0,0,0
0.191267152,41,0,302,5400,3,0,1,0,0
0.307485979,33,1,0.156388129,4750,8,0,0,0,0
0.011928145,56,0,0.172007213,7208,11,0,1,0,2
0.023373689,65,0,3350,5400,6,0,2,0,0
0.002079002,78,0,0.000999667,3000,11,0,0,0,0
1.03449655,54,0,0.276605199,4500,4,1,0,0,0
0.90518435,57,0,0.631827297,8476,8,0,2,0,1
0.111958442,52,0,0.659680831,5200,12,0,2,0,0
0.019883105,64,0,0.028599606,6083,16,0,0,0,0
0.097851161,43,1,0.161459635,4000,12,0,0,0,0
0.131751356,47,0,0.182344428,7600,4,0,1,0,0
0.133633821,47,0,0.44844824,4800,20,0,1,0,2
0,65,0,0,2971,2,0,0,0,0
0.078230692,53,0,239,5400,4,0,0,0,0
0.613862404,51,0,1.110858701,2200,19,0,1,0,0
0.391874793,54,0,0.671382758,5300,9,0,2,0,0
0.008578797,74,0,414,5400,12,0,0,0,0
0.010353625,48,0,0.518577707,7508,7,0,3,0,3
0.096357379,27,1,0.209016393,1951,5,0,0,0,0
0.106826775,69,0,0.059748428,4133,11,0,0,0,0
0,48,1,0.187521426,5833,7,0,0,0,3
0.006713327,53,0,0.034236805,700,2,0,0,0,0
0.486651335,55,0,0.324741695,9000,10,0,2,0,0
0.9999999,45,0,0.687607082,1750,5,0,1,0,2
0.81207517,56,4,0.018283582,5359,8,0,0,0,0
0.9999999,36,0,0.81527389,2500,5,0,1,0,0
0.040294421,48,0,0.265576393,11250,5,0,1,0,0
0.015047141,69,0,65,5400,6,0,1,0,0
0.001799955,41,0,0.289820012,10333,4,0,1,0,0
0.3984004,27,0,0.01305193,3600,3,0,0,0,0
0.682796753,52,2,0.555184876,3596,15,0,1,0,0
0.900266126,51,0,0.535429106,13900,10,0,2,0,2
0.452960731,35,0,0.233123312,4443,3,0,0,0,2
0.067909454,33,1,412,5400,3,1,0,1,0
0.9999999,50,0,0.281316969,5132,3,1,2,1,3
0.006901811,47,0,0.407932011,6000,7,1,1,0,1
0.126994519,39,0,0.436807095,4058,14,0,2,0,1
0.35802918,46,0,0.738380652,4754,9,0,1,0,2
0.900807935,46,0,788,5400,2,0,0,0,0
0.01816405,65,0,0.069984448,4500,10,0,0,0,0
0.63189077,41,2,0.16356173,9500,9,0,0,0,2
0.969225082,52,0,0.662175168,3116,17,0,2,0,0
0.267899449,42,0,0.3116802,1600,5,0,0,0,0
0,49,0,0.53296377,5050,7,0,1,0,1
0.237660381,68,0,0.196700825,4000,9,0,1,0,0
0.618052428,28,0,0.067386523,5000,5,0,0,0,0
0.030053276,58,0,937,5400,5,0,1,0,0
0.044460887,37,0,1978,5400,3,0,1,0,0
0.731966591,48,0,0.412220917,4254,7,6,0,0,0
0.0399362,77,0,0.089985002,6000,5,0,0,0,0
0.368996252,54,2,0.473994478,13400,21,0,2,0,1
0.913951897,37,0,0.246583742,11415,9,0,2,0,0
0.727369684,41,0,1.470529471,1000,8,0,1,0,0
0.234859354,47,1,0.32642487,1350,11,0,0,0,3
0.059998333,30,0,0.649673203,764,5,0,0,0,0
0.014749189,76,0,0.007256894,6200,12,0,0,0,0
0.809930528,50,0,0.465816773,8000,11,0,1,0,2
0.002107351,57,0,0.000479846,2083,4,0,0,0,0
0.003222103,67,0,2,5400,2,0,0,0,0
0.738615425,50,0,0.259020192,6041,14,0,1,2,2
0.03195895,65,0,0.00939812,5000,5,0,0,0,2
0.003399915,88,0,0.000963623,4150,3,0,0,0,0
0.873481732,42,0,0.53873267,12766,11,0,3,0,0
0,60,0,0.189688097,3141,5,0,0,0,0
0.089146989,45,1,0.25974805,5000,7,0,2,0,0
0.028466112,41,0,0.00619876,5000,6,0,1,0,3
0.063692962,54,0,0.026571955,3800,10,0,0,0,1
0.882839421,56,0,0.050312791,7512,6,0,0,0,0
0.021603123,62,0,0.261664006,5636,2,0,1,0,0
0.043547823,53,0,26,5400,1,0,0,0,0
0.997363876,36,0,0.777160631,4500,8,0,2,0,3
0.138956771,48,0,1.028666667,1499,8,0,1,0,2
0.075371162,56,2,0.549626763,7233,11,0,2,0,1
0.393481395,57,0,0.459086294,4924,12,0,2,0,0
0.00309071,72,0,0.294700941,15832,16,0,2,0,0
0.255610417,54,0,0.528550512,3414,9,0,1,0,1
0.940774925,41,2,0.381154711,4000,10,0,1,0,1
0.9999999,25,0,0.2436751,1501,1,0,0,1,0
0.577762046,36,0,0.714285714,3240,6,0,1,0,1
0.000119087,55,0,0.23890148,7500,16,0,2,0,0
1.050101024,37,0,0.518578092,6216,9,2,1,1,2
0.9999999,60,1,0.327843738,5221,2,0,1,0,2
0,59,0,941,5400,3,0,1,0,0
0.014332856,74,0,16,5400,6,0,0,0,0
0.011440882,77,0,1161,5400,8,0,1,0,1
0.402148222,64,0,4068,5400,14,0,3,0,0
0.057284708,48,0,0.336771749,19000,10,0,3,0,2
0.060757376,84,0,0.364727055,1666,20,0,1,0,0
0.907371522,32,1,0.29988466,2600,4,0,0,1,0
0.097099321,49,0,1032,5400,4,0,0,0,3
0,85,0,7,5400,5,0,0,0,0
0.004436784,77,0,0.017193123,2500,11,0,0,0,0
0.045120117,30,0,0.043037623,7202,3,0,1,0,0
0.248980027,48,0,0.336696631,16352,12,0,3,0,1
0.9999999,38,0,0,0,2,0,0,0,1
0.016934374,76,0,0.04886562,4583,8,0,0,0,0
0.053435115,46,0,2525,5400,3,0,1,0,0
0.90803395,43,0,0.123402556,2503,4,0,0,0,0
0.016732809,54,0,0.136232971,8000,10,0,1,0,1
0,57,0,0.000727207,11000,9,0,0,0,0
0.390946502,48,0,0.286316144,5933,16,0,2,1,3
0.05997133,67,0,1712,5400,9,0,1,0,0
0.9999999,68,0,1393,5400,6,0,1,0,0
0.249157818,51,0,2617,5400,8,0,1,0,3
0.148052461,71,0,0.403607911,4600,12,0,1,0,2
1.008713663,55,0,0.295617397,6000,3,0,2,0,1
0,66,0,0,5400,1,0,0,0,0
0.954045954,24,0,28,0,1,1,0,0,0
0.051375494,35,0,0.182554732,5800,10,0,0,0,2
0,61,0,3882,5400,16,0,2,0,0
0.009945677,81,0,10,5400,7,0,0,0,0
0.124304731,46,1,0.071689715,6290,10,0,0,0,0
0.267314531,53,0,1.012207883,2866,10,0,1,0,1
0.000378774,37,0,0.21496929,7000,7,0,1,0,2
0.041767287,78,0,0.009997223,3600,3,0,0,0,0
0.532467532,24,0,0.094160968,1900,2,0,0,0,0
0,52,0,2312,5400,3,0,2,0,0
0.9999999,38,0,0.322415266,3510,6,0,1,0,1
0.315078254,54,0,489,5400,6,0,0,0,0
0.066049588,46,0,0.366233395,7000,11,0,2,0,3
0.798136891,46,0,0.658440993,6888,7,0,1,0,3
0.02657778,66,0,0.190927996,7693,12,0,1,0,0
0.281228042,67,1,0.369965373,5486,7,0,2,0,0
0.16698255,84,0,253,5400,7,0,0,0,0
0,34,0,0,5400,2,0,0,0,0
0,43,0,0.458135466,4000,7,0,2,0,3
0.986280549,45,0,0.744842233,3295,8,0,2,0,0
0.938826467,57,0,0.061221351,6500,3,0,0,0,0
0.030639724,29,0,1.083056478,1504,16,0,1,0,0
0.031600111,53,0,0.729454109,5000,13,0,3,0,2
0.165933627,24,0,0.004284184,2800,2,0,0,0,0
0.014179254,56,0,2117,5400,9,0,1,0,0
0.134482132,59,0,0.150910159,8514,9,0,0,0,2
0.02365457,58,0,0.011792968,4578,6,0,0,0,2
0.071221854,68,0,0.531362007,7811,9,0,1,0,0
0.044190899,53,0,0.158482799,3400,13,0,1,0,1
0.067597296,77,0,0.004761451,10500,4,0,0,0,0
0.488594463,27,0,0.325162839,5833,9,0,2,0,2
0.768045462,36,0,0.160180374,10200,6,0,1,0,3
0.000945001,70,0,0.003149843,20000,11,0,0,0,0
0.551412817,49,0,0.354765678,8833,6,0,1,0,2
0.662877592,56,0,0.234930007,10500,7,0,1,0,1
0.424063604,49,0,0.235553379,6125,14,0,0,0,2
0.085793597,68,0,0.204265245,3000,13,0,2,0,0
0.939217405,43,4,0.819740037,7000,18,0,3,0,3
0.04188733,63,0,0.244393658,7000,13,0,1,0,0
0.9999999,43,0,0.069272446,2583,1,1,0,0,0
0.404844945,60,0,0.895636172,3803,14,0,1,0,0
0.017107403,80,0,9,5400,6,0,0,0,0
0.036049099,56,0,0.047348792,6166,8,0,0,0,0
0.500813319,51,0,689,5400,6,0,0,0,0
0.118875245,37,0,0.195220299,10167,8,0,1,2,0
0.052863142,46,0,0.332693385,12500,6,0,3,0,3
0.119389417,49,0,1548,5400,4,0,1,0,0
0.021356761,60,0,0.344487402,7500,10,0,1,0,1
1.169718105,29,0,0.631954351,700,4,0,0,3,0
0.132714112,65,0,0.04924044,1908,3,0,0,0,0
0.045325779,37,0,0.31510923,8742,6,0,2,0,1
0,44,0,0,4900,2,0,0,0,2
0.138132882,63,0,1435,5400,9,0,1,0,0
0,80,0,0,3630,2,0,0,0,0
0.010016779,62,0,0.318800461,8669,15,0,2,0,0
0.786079434,58,0,1360,5400,12,0,0,0,0
0.55768029,53,0,0.480370534,6800,8,0,2,0,1
1.056839475,23,0,0.111269615,700,2,2,0,0,3
0.260815382,45,1,0.54610564,5584,7,0,2,0,2
0.440775341,72,0,0.2504363,4583,9,0,0,0,2
0.023190863,54,0,0.174941686,3000,9,0,0,0,0
0.090842005,40,0,179,5400,12,0,0,0,0
0.317672823,51,0,0.251874777,8400,6,0,1,0,1
0,64,0,0,5668,4,0,0,0,0
0.040310925,60,0,0.005453554,5500,3,0,0,0,0
0.083810055,42,0,54,5400,2,0,0,0,0
0.9999999,46,0,701,5400,8,1,1,0,0
0.9999999,23,0,0.174330268,2500,2,0,0,0,0
0.02311494,69,0,2076,5400,7,0,1,0,0
0.380062305,52,1,0.379009164,6983,12,0,2,0,0
0,75,0,0.145823719,6500,10,0,2,0,0
0.9999999,47,4,0.40063742,5333,4,0,1,1,2
1.010303791,49,0,0.756635643,2900,14,0,1,0,0
1.132334582,32,0,0.117451062,2400,4,0,0,0,0
0.221143214,32,0,0.374240583,5760,16,0,1,0,0
0.014635163,76,0,0.00622084,4500,6,0,0,0,2
0.009266049,64,0,4,5400,2,0,0,0,0
0.199313484,57,0,0.56094448,4700,10,0,1,0,1
0.741337881,45,3,0.589703588,7050,11,1,1,0,1
0.809099423,52,1,0.456410791,9600,10,0,1,0,1
0.9999999,33,0,0.001454413,11000,0,0,0,1,0
0.023543487,81,0,0.013328397,2700,8,0,0,0,0
0.009828491,82,0,0.124115948,10038,10,0,1,0,0
0.169013105,61,0,0.286544139,10500,10,0,1,0,0
0.496422675,45,0,0.476841518,3583,9,0,1,0,0
0.546460794,39,0,0.651813767,3500,10,0,1,0,0
0.068090558,72,0,62.13861386,100,17,0,2,0,0
0.240231548,32,0,0.362011512,3300,7,0,1,0,0
0.205676486,57,0,0.130309575,8333,8,0,1,0,0
0.465104676,61,1,0.495841996,6733,8,0,2,0,0
0.9999999,38,0,0.085441633,4505,1,0,0,0,2
0.067365171,64,0,0.305670596,18833,9,0,2,0,0
0.028419716,62,0,0.33065524,5600,18,0,2,0,0
0.018996834,27,0,3,5400,3,0,0,0,0
0.036194944,54,0,0.25494901,3333,9,0,0,0,1
0.027140919,80,0,0.003665445,3000,2,0,0,0,1
0.278990257,42,0,0.269028508,3612,13,0,0,0,0
0.237908453,43,0,0.089363688,30000,13,0,0,0,2
0.040555398,66,0,0.316571001,8013,12,0,3,0,0
0.048275096,28,0,0.006709608,3725,5,0,0,0,0
0.316048854,40,0,179,5400,1,0,0,0,0
0.799648758,47,0,0.238028416,5700,13,0,0,0,0
0.125242868,63,0,0.698325419,4000,9,0,1,0,0
0.702198534,38,1,0.690315898,1930,10,0,1,0,2
0.039380662,57,0,0.680127949,2500,12,0,1,0,1
0.231916262,37,0,0.44027986,2000,9,0,0,0,0
0.246939637,29,0,0.635252731,5400,15,0,2,0,0
0,42,0,0,5000,2,0,0,0,0
0.447387742,63,0,0.647198239,5906,14,0,2,0,0
0.093111948,66,0,0.381520385,5616,6,0,1,0,0
0,65,0,0.169280878,11666,7,0,1,0,0
0.239205743,80,0,200,5400,3,0,0,0,0
0.427883973,47,0,0.701621862,4500,16,0,2,0,2
0.289471053,25,0,1.030023095,865,5,0,0,0,0
0.116198212,47,0,1688,5400,10,0,1,0,0
0,50,1,0.596491228,3875,10,1,1,3,0
0.479315086,28,0,0.035359801,3223,2,0,0,0,0
0.013566214,55,0,0.164567087,5000,4,0,1,0,0
0.058172648,52,0,0.129441967,7400,6,0,1,0,1
0.143051493,55,0,0.250179986,8333,7,0,1,0,1
0.9999999,42,0,549,5400,1,1,0,0,0
0.9999999,25,0,0.072565716,2700,2,0,0,0,0
0.924278171,80,0,0.308106445,6500,5,0,1,0,1
0,79,0,0.070121165,3878,2,0,0,0,0
0.258405608,41,0,0.226681903,7000,16,0,1,0,1
0.513119284,45,0,0.290328896,5107,9,0,1,0,1
0.230121971,36,0,0.382700903,11410,17,0,2,0,2
0.997194522,38,0,0.365454199,5250,10,0,0,0,0
0.453778721,60,0,0.184217996,7045,12,0,0,0,1
0.400335992,63,0,0.576792772,7083,17,0,2,0,0
0.161825835,62,0,0.421047043,9416,18,0,2,0,1
0.045478219,42,0,0.380446858,8100,6,0,1,0,2
0.9999999,63,0,484,5400,5,0,0,0,0
0.27615453,50,0,0.27306723,12300,10,0,2,0,1
0.354984932,62,0,0.571489787,7000,9,0,2,0,1
0,30,0,0.8718802,600,2,0,0,0,0
0.047617439,71,0,438,5400,9,0,1,0,0
0.9999999,68,0,0,1117,0,0,0,0,0
0,50,0,0.285882353,5099,13,0,1,0,3
0.418998444,46,0,0.325364051,4600,7,0,1,0,3
0.426032638,40,1,0.43262575,4333,11,1,2,1,2
0.150653209,72,0,1172,5400,14,0,1,0,0
0.041447928,31,0,0.350588615,6200,4,0,2,0,0
0.672656788,51,0,0.281826448,15395,16,0,1,0,0
0.02624575,64,0,0.401046073,13000,9,0,1,0,0
0.426398114,25,0,0.214797534,6000,7,0,0,0,1
0.407449069,59,0,1753,5400,5,0,2,0,0
0.036408174,42,1,0.527290608,6100,8,0,1,0,3
0.120540834,58,0,0.277908721,14000,13,0,2,0,2
0.292210951,58,1,0.683289779,13775,5,0,2,0,0
1.058159802,48,8,3082,5400,11,1,2,2,0
0.27524929,30,0,0.174960236,4400,9,0,0,0,0
0.9999999,34,1,0.272484417,2245,2,0,0,0,1
0.982110912,47,0,0.01336675,1196,1,0,0,0,0
0.197750148,30,0,0.031799042,6886,7,0,0,0,0
0,50,0,0.370589524,9125,9,0,2,0,0
0.087070225,43,0,0.011262799,2929,1,0,0,0,0
0.055727775,79,0,0.338837793,4783,11,0,1,0,0
0,35,1,0.839193468,6000,14,0,2,0,2
0.00239988,46,0,0.230030751,13332,6,0,2,0,0
0,37,0,0,4980,2,0,0,0,0
0.14822199,56,0,0.895815782,3560,7,0,2,0,0
0.028693047,40,0,1558,5400,6,0,2,0,0
0.020173328,58,0,20,5400,2,0,0,0,0
0.910236905,69,1,0.049986846,3800,2,0,0,0,0
0.0622022,61,0,0.228738563,13333,14,0,2,0,0
0.042632162,53,0,0.473863314,10578,10,0,2,0,0
0.016007442,61,0,0.118221085,6250,7,0,1,0,0
0.759771771,37,0,0.369363064,10000,10,0,1,0,3
0.909331568,22,0,0.212524983,1500,4,0,0,0,0
0.063419511,37,0,0.585679983,4580,5,0,1,0,1
0.128169738,46,0,0.27369684,7500,9,0,1,0,1
0.027785327,65,1,4216,5400,20,0,1,0,0
0.700159845,46,0,0.373394967,3893,9,0,0,0,0
0.269203711,48,0,0.4538854,5095,13,0,2,0,0
0.352297886,66,0,0.372533544,3800,11,0,0,0,0
0.898200327,29,2,0.192383086,3570,7,1,0,2,1
0.127916552,40,1,0.398087569,5960,9,0,2,0,3
0.9999999,64,0,511,5400,4,0,1,0,0
0.332809543,42,0,0.450051493,5825,8,0,1,0,3
0.025534475,68,0,0.248410643,4246,13,0,1,0,0
0.010526131,87,0,1591,5400,6,0,1,0,0
0.008599364,82,0,0.003085362,5833,9,0,0,0,0
0.498877414,73,0,0.479604079,3333,17,0,3,0,0
0.9999999,73,0,0.219979473,2922,2,0,0,0,0
0.242094738,45,0,3086,5400,9,0,1,0,0
0.478937408,48,0,1.304199219,2047,13,0,1,0,3
0.033774649,43,0,0.211378862,10000,7,0,1,0,2
0.835758212,39,0,0.345724451,8150,11,0,1,0,2
0.175839229,65,0,0.323795459,10833,20,0,2,0,0
0.018523368,65,0,0.022954092,1001,5,0,0,0,0
0.055065443,53,0,0.020851185,3500,9,0,0,0,1
0.108717247,67,0,147,5400,5,0,0,0,0
0.002713784,87,0,0.086652225,6000,11,0,1,0,0
0,36,0,0.190755105,6316,13,0,1,0,3
0.125357938,34,0,3369,5400,6,0,2,0,0
0.9999999,45,0,0,5400,1,0,0,0,1
0.068558215,35,0,0.0101042,3166,1,0,0,0,0
0.352288748,50,0,0.183236202,5833,7,0,0,0,0
0.479597381,31,0,2109,5400,8,0,2,0,0
0.9999999,50,0,0.411917616,5000,4,0,0,0,3
0.642325021,43,0,0.356630525,5994,6,0,0,0,1
0.015692559,63,0,2458,5400,13,0,1,0,0
0.709919362,48,1,0.207786148,15000,14,0,3,0,1
0.338002561,62,0,0.283955056,11124,8,0,2,0,1
0.662933707,39,0,198,5400,1,0,0,0,0
0.18527206,39,0,0.408383003,5200,12,0,2,0,0
0.9999999,51,1,0.044991002,5000,1,1,0,0,0
0.348070295,34,1,0.476508121,3447,5,0,1,0,3
0.100259808,65,0,0.342049606,5200,8,0,2,0,0
0.374681835,56,3,0.798712301,2950,19,0,2,0,1
0.0057842,51,0,0.489627593,4000,7,0,2,0,3
0.866053579,39,1,0.409886143,3600,5,2,1,2,3
0.17579121,45,0,0.580225499,5764,4,0,2,0,3
0,34,0,0.198523191,13000,9,0,2,0,1
0.002533222,63,0,0.113221695,4000,13,0,1,0,0
0.420257328,41,0,0.431928012,6000,8,0,2,0,2
0.55685752,80,0,0.25034307,5100,5,1,0,0,1
0.040248994,58,0,0.434359379,3800,14,0,1,0,0
0.254760787,54,0,0.291896648,12500,10,0,2,0,3
0.24435227,34,0,0.224758767,4248,4,0,1,0,0
0.612552286,69,0,1.456369983,2291,15,0,3,0,0
0.530717269,60,0,0.477249826,12900,10,0,2,0,2
0.094884071,65,0,194,5400,14,0,0,0,0
0.080688636,39,0,0.121105232,1700,4,0,0,0,2
0.1337493,50,0,0.021358291,4166,5,0,0,0,0
0.015098516,84,0,22,5400,6,0,0,0,0
1.001745755,42,1,0.213131145,6000,8,0,2,0,1
0.055408507,58,1,0.214016482,15652,14,0,3,0,0
0.15351086,77,0,0.213891081,3800,4,0,1,0,0
0.215407541,54,0,0.320585098,6562,8,0,2,0,0
0,63,0,0.369441816,8455,6,0,2,0,0
0.963003083,54,0,0.432373473,4583,10,0,1,0,0
0.177416615,52,0,0.266701371,11525,17,0,3,0,0
0.367771584,68,0,0.47688078,4000,9,0,2,0,0
0.110068801,33,0,0.428015564,3083,15,0,1,0,1
0.249461748,26,0,0.882352941,764,4,0,0,0,0
0.9999999,38,0,0.045781798,5416,3,0,0,0,0
0.299439657,60,0,1583,5400,8,0,1,0,0
0,43,0,0.212568747,26000,6,0,1,0,3
0.019608745,62,1,62.16666667,11,10,0,1,0,0
0.032665796,31,0,3071,5400,6,0,3,0,0
0.989357036,48,0,0.526689244,6200,15,0,2,0,2
0,41,0,0.068488093,10833,11,0,0,0,0
0.093077691,30,0,0.397920416,5000,7,0,2,0,0
0.92034744,46,0,0.178922363,9260,6,0,0,0,3
0.983274248,49,0,0.233942335,7005,4,0,2,0,1
1.036411659,40,0,0.417757417,4583,4,0,2,0,2
0.974890749,32,1,282.5,1,4,0,0,0,3
0.429820482,43,1,0.139293461,6453,7,0,0,0,2
0.494950274,56,1,0.239301426,7500,7,1,1,0,1
0.9999999,52,3,1773,5400,1,0,1,0,0
0.471648404,50,0,0.68137439,5325,8,0,2,2,0
0.314478454,53,0,0.387861214,10000,17,0,3,0,1
0.06369828,26,0,0.416706444,6284,6,0,2,0,1
0.00126708,40,0,0.730317064,2806,15,0,2,0,3
0.156542881,36,0,0.241939454,8125,7,0,1,0,2
0.332827955,39,1,0.138465384,4000,7,0,0,0,1
0.16669981,57,0,0.407932925,3100,6,0,1,0,0
0.47069884,32,0,0.658780407,3000,16,0,1,0,0
0.032777049,79,0,0.179470953,7900,9,0,1,0,0
0.9999999,56,0,3221,5400,3,0,1,0,0
0.440928372,42,0,1.014638829,8333,8,0,3,0,2
0.038454642,56,0,0.147285271,10000,7,0,2,0,3
0.332981846,62,0,1298,5400,6,0,1,0,0
0,53,0,0.298703328,6400,6,0,1,0,0
0.9999999,64,0,0.2049627,18900,17,0,2,0,0
0.578042196,60,0,0.244212233,11100,8,0,0,0,0
0.194392224,56,0,0.241293118,6000,6,0,0,0,0
0.271357621,55,0,0.188215411,13016,8,0,2,0,0
0.919755671,54,0,2974,5400,7,0,1,0,0
0.062826204,57,0,2.36123348,680,10,0,1,0,1
0.148839842,27,0,0.088915956,820,4,0,0,0,0
1.101796407,37,1,0.107578484,5000,5,1,0,1,3
0.031529004,54,0,0.23650546,3204,7,0,2,0,0
0.003479094,57,1,0.687624972,4500,9,0,2,0,0
0.9999999,50,2,1515,5400,7,0,2,0,3
0.014372719,44,0,0.004137455,8700,7,1,0,0,2
0.049241897,87,0,0.008399328,12500,9,0,0,0,1
0.017224229,63,0,0.172206948,4000,6,0,1,0,0
0.748427843,53,0,0.561371289,9800,13,1,3,0,0
0.030931548,66,0,1239,5400,5,0,1,0,0
0.00054943,59,0,0,2236,4,0,0,0,0
0.254066423,62,0,0.569807753,6345,14,0,1,0,1
0.098116474,75,0,97,5400,2,0,0,0,0
0.313533881,73,0,0.229942514,4000,6,0,1,0,0
0.565352087,57,0,0.327097559,10690,17,0,2,0,3
1.03150349,41,6,0.316843547,11683,4,0,1,1,1
0.002285388,30,0,0.002249719,8000,3,0,0,0,0
0.042773274,64,0,657,5400,10,0,1,0,0
0.9999999,40,1,0.007406036,5400,3,0,0,0,0
0.968406319,29,0,0.10491649,4250,3,0,0,0,0
0.012469855,84,0,0.001170047,5127,2,0,0,0,0
1.533346665,59,0,0.892994242,2083,8,0,2,0,0
0.04508798,41,0,1.274945011,5000,10,0,2,0,1
0.024923605,60,0,0.419058094,10000,18,0,2,0,0
0.364345206,32,0,0.483034447,7750,9,0,1,0,1
0.036232825,39,0,0.003595506,11124,2,0,0,0,2
0,52,0,2866,5400,13,0,1,0,0
0.038982225,88,0,0.003239935,16666,7,0,0,0,0
0.15190276,48,0,0.238402987,6962,6,0,1,0,0
0.446856067,35,3,0.45849546,3083,7,0,1,0,1
0.813134673,62,0,0.574589088,16000,20,0,3,0,1
